mp_id,formula,K-DFT,G-DFT,K-M3GNet-MatPES,G-M3GNet-MatPES,K-TensorNet-MatPES,G-TensorNet-MatPES,K-CHGNet-MatPES,G-CHGNet-MatPES,K-M3GNet-MPF,G-M3GNet-MPF,K-TensorNet-MPF,G-TensorNet-MPF,K-CHGNet-MPtrj,G-CHGNet-MPtrj,K-TensorNet-OMat24,G-TensorNet-OMat24
1009735,ReC,411.017,234.143,318.6646123,183.9944028,357.0828375,230.1739115,336.5127506,182.7501393,385.2690161,98.37929796,346.7767077,13.33424262,327.2674259,85.0081488,392.3232911,192.5781779
1985,C3N4,408.257,313.794,380.5364922,216.8563368,313.1778955,270.4437976,300.5853883,190.0462882,280.7769162,86.51699551,274.1927184,171.5585216,286.1429564,160.9829047,366.2924216,300.7441778
1009818,CN2,397.571,291.21,400.9461357,416.5549822,359.7919743,248.8797941,292.5191762,175.5286026,323.8667917,99.7606046,296.0107081,112.1597916,316.0236939,156.1927032,378.9035601,253.3603305
1009731,ReC,395.957,151.217,383.2363972,58.92997712,278.9452938,109.3666748,448.5517397,111.6563158,306.7988905,-116.4555969,381.9242284,-31.46642615,414.42922,4.569264225,389.7994807,85.73351432
999266,ReN,392.349,212.91,240.9318607,87.08534107,371.6579496,184.9899819,308.848583,134.0674595,376.4960479,12.97035466,364.3725234,27.80115201,398.6876604,59.81848192,364.4691298,141.7020359
571653,C3N4,391.827,375.573,571.8869745,445.2877013,322.5755686,295.6713548,378.7857168,253.8104728,303.3832957,60.57878654,277.1429231,201.3920103,361.1241012,161.1587258,408.5126684,317.5890383
974435,Re3N,388.181,212.936,340.4299501,172.3300085,435.7771988,183.9011819,370.0378465,146.6871905,413.4877035,72.63234273,409.094591,54.24565376,331.1536454,51.64857153,368.2298863,138.7688097
7142,OsC,384.511,61.473,269.4608783,101.3222614,264.4384756,102.6377458,231.3902708,97.36788439,300.0888595,35.25431744,288.6100329,22.72675745,281.2642803,36.07263642,425.2563157,141.7578039
1019055,ReN2,384.053,265.328,452.5747783,227.3275048,422.3131542,208.3682176,317.2361189,196.5160623,367.0843313,-264.1332693,352.377099,-162.8363792,354.6082332,71.56364901,476.413057,181.1787808
563,C3N4,383.458,175.607,652.1299881,317.83917,496.0938064,364.5832096,408.9681182,162.1255242,343.7892395,-241.518955,336.6440493,95.69388315,351.3276097,25.65609301,349.5898561,355.3145579
1008280,CrCo3,380.486,149.373,159.3005432,90.50800231,245.4916965,126.2161016,159.1090977,94.70724357,264.4244106,41.25628959,170.0034904,24.36245304,161.0079296,58.41135724,209.7562424,121.7369845
1894,WC,380.208,263.151,442.0084533,293.6010707,374.3838285,281.3676299,310.358546,213.0207698,367.2878393,82.60469409,271.6887073,-80.34599916,280.194498,85.85254644,359.1902344,192.4787736
2435,HoCo5,377.141,59.059,91.56335552,30.76017358,113.6835561,50.79016767,134.1946084,54.55173839,124.2630038,45.0282083,110.8770717,32.49651309,149.5739535,50.69549356,129.0246486,60.28181236
27953,Mo2N,377.071,182.174,297.4384172,132.7187456,282.3951625,121.1722221,253.9766057,126.3106936,328.4908324,56.91863215,286.9199001,36.62979103,286.1831528,69.57176357,260.9263446,104.0089696
867212,TcOs3,377.014,239.966,327.6775601,189.4356982,346.9141831,176.1559051,339.3687613,172.607108,396.8874979,28.60957044,346.4784794,19.36969258,346.4399236,76.63057206,353.2990645,147.6708803
1018649,BC5,376.878,331.922,416.6787579,438.0044548,233.7121359,327.9698928,283.6888807,200.9930473,304.4059958,146.0180004,229.2233007,174.1055516,285.6496067,152.8400783,306.2518903,298.2976646
991,WN,375.17,165.988,243.1798276,117.4611506,359.2578639,167.2427825,323.6969432,123.559953,388.4068305,69.78694963,314.6020264,41.30559978,283.6065362,62.52173193,382.7941896,183.7245137
999308,OsC,374.861,95.289,222.0204417,52.87905711,254.6779875,123.6743887,193.5906187,139.8951137,294.3493591,39.76222449,312.8395315,52.14514542,304.4306656,36.08246371,379.3251579,161.0472244
2653,BN,373.485,383.44,404.248268,382.4783968,334.3583614,353.2524655,312.2400486,255.3629468,339.955082,158.5237261,260.9919475,192.1734223,299.7637663,150.0713703,386.2958751,333.1493336
1008630,WC,366.4,233.691,460.2891466,131.7436792,282.9788077,67.92974238,319.1536687,134.3899458,324.6771078,-291.2255101,316.0159584,97.2894093,359.5149484,18.20230091,410.5139677,143.3908962
1019052,ReN,366.211,175.334,214.9377583,82.31411595,269.5857628,141.378968,314.8388962,166.0078901,428.8774282,29.78978725,345.223287,73.95107156,378.6631707,68.59946838,346.6890785,135.4170451
974430,Re3Ir,366.016,218.264,333.6007171,197.1027039,356.0626658,195.3976765,340.9057557,158.4194151,358.4595579,45.50501414,367.8973331,-28.23669139,359.7924986,72.64901883,337.1435285,158.356567
1761,LuIr2,365.57,8.00E+11,122.8872389,27.79874276,152.9130151,56.27399382,139.3809176,45.3140209,195.9234779,33.9706202,187.0310113,27.08613423,208.895503,53.99062525,217.2256029,82.33696829
13136,WC,365.029,130.115,267.7143074,143.2747856,257.5984937,149.4147832,359.301049,148.3705737,260.4796441,-28.57798321,259.2105626,-32.01159799,353.758225,63.23372987,281.0268656,83.68429805
1018850,OsC2,361.737,206.455,273.2634728,229.6637952,350.54422,194.7477021,357.8015791,173.9087742,259.2719851,70.41824295,257.6493238,75.19194405,251.0597508,68.37055417,367.3942652,168.7639176
1002207,ReN,361.49,59.704,52.08776923,-18.28055727,305.6889473,55.25192418,359.5571787,15.37222554,250.2539991,1395.852058,322.6521891,-699.0815269,314.7556572,-121.5420822,341.226291,48.51132425
21264,OsN2,359.603,224.953,218.5467069,112.3491987,374.3469454,219.3953043,246.8932375,131.0589233,344.690226,78.74093029,274.463195,35.09419558,291.6367002,71.89469278,346.6840534,150.3677636
867792,ReIr3,358.896,159.736,289.8685327,154.0706574,326.1864384,185.7950492,306.1730749,148.258556,349.3662549,31.97155511,339.1335338,22.35833341,338.4480522,80.21751822,329.3729139,154.596105
